Tag Name,Type,Description,PLC Address
"System.AutoMode","bool","1=Auto, 0=Manual",""
"System.Healthy","bool","1=Healthy, 0=Fault",""
"System.Running","bool","Line running status",""
"Production.Count","int","Total production count",""
"Production.Rate","float","Units per hour",""
"Production.Efficiency","float","OEE percentage",""
"Production.Target","int","Shift production target",""
"Production.Rejects","int","Reject count",""
"Recipe.Active","string","Current recipe name",""
"Recipe.Number","int","Active recipe number",""
"Recipe.DownloadReady","bool","Recipe ready to download",""
"Settings.SpeedSetpoint","float","Line speed setpoint",""
"Settings.TempSetpoint","float","Temperature setpoint",""
"Settings.AutoStart","bool","Auto start enabled",""
"Manual.ConveyorRun","bool","Manual conveyor run",""
"Manual.PumpRun","bool","Manual pump run",""
"Manual.VFD_Speed","float","Manual VFD speed",""
"Safety.EStopOK","bool","E-stop circuit OK",""
"Safety.DoorClosed","bool","Safety doors closed",""
"Safety.LightCurtainOK","bool","Light curtain clear",""
"Prestart.PowerOK","bool","Power check",""
"Prestart.AirOK","bool","Air pressure check",""
"Prestart.SafetyOK","bool","Safety check",""
"Prestart.Ready","bool","Prestart complete",""
"Comm.PLCConnected","bool","PLC communication",""
"Comm.ScanRate","float","PLC scan rate ms",""
"CycleTime.Last","float","Last cycle time sec",""
"CycleTime.Average","float","Average cycle time sec",""
"CycleTime.Best","float","Best cycle time sec",""
"IO.DI_001","bool","Start button",""
"IO.DI_002","bool","Stop button",""
"IO.DI_003","bool","Reset button",""
"IO.DO_001","bool","Run lamp",""
"IO.DO_002","bool","Fault lamp",""
"IO.AI_001","float","Tank level %",""
"Alarm.EStop","bool","E-stop alarm",""
"Alarm.DoorOpen","bool","Door open alarm",""
"Alarm.LowAir","bool","Low air alarm",""
"Alarm.MotorFault","bool","Motor fault alarm",""
"Alarm.HighTemp","bool","High temp alarm",""
"PLC_DI_Discr.List_02","string","PLC DI list 02 title",""
"PLC_DI_Discr.Data_08","string","DI09 System Start PB",""
"PLC_DI_Discr.Data_09","string","DI10 System Stop PB",""
"PLC_DI_Discr.Data_10","string","DI11 System Reset PB",""
"PLC_DI_Discr.Data_11","string","DI12 Safety Reset PB",""
"PLC_DI_Discr.Data_12","string","DI13 Spare DI",""
"PLC_DI_Discr.Data_13","string","DI14 Spare DI",""
"PLC_DI_Discr.Data_14","string","DI15 Spare DI",""
"PLC_DI_Discr.Data_15","string","DI16 Chopper Air Pressure Switch",""
"PLC_DI_No.Data_08","int","9",""
"PLC_DI_No.Data_09","int","10",""
"PLC_DI_No.Data_10","int","11",""
"PLC_DI_No.Data_11","int","12",""
"PLC_DI_No.Data_12","int","13",""
"PLC_DI_No.Data_13","int","14",""
"PLC_DI_No.Data_14","int","15",""
"PLC_DI_No.Data_15","int","16",""
"PLC_DI_Tags.Data_08","bool","DI09 value",""
"PLC_DI_Tags.Data_09","bool","DI10 value",""
"PLC_DI_Tags.Data_10","bool","DI11 value",""
"PLC_DI_Tags.Data_11","bool","DI12 value",""
